Units: V/cm, mm/mus
751.7073170731707, 2.110854503464203
698.0487804878048, 2.069284064665127
653.170731707317, 2.090069284064665
594.6341463414633, 2.0415704387990763
539.0243902439024, 2.0173210161662816
474.6341463414634, 1.9688221709006926
433.6585365853658, 1.9203233256351038
400.4878048780488, 1.9099307159353347
366.3414634146342, 1.8960739030023093
336.0975609756097, 1.8683602771362584
308.7804878048781, 1.8302540415704387
282.43902439024384, 1.8198614318706696
267.8048780487805, 1.764434180138568
250.2439024390244, 1.7193995381062355
225.85365853658533, 1.702078521939954
211.21951219512198, 1.6743648960739028
190.7317073170732, 1.6501154734411085
176.09756097560972, 1.6327944572748267
161.46341463414632, 1.5981524249422634
149.7560975609756, 1.6050808314087759
136.09756097560972, 1.577367205542725
124.39024390243901, 1.5496535796766744
116.58536585365852, 1.5288683602771362
110.73170731707319, 1.508083140877598
101.95121951219511, 1.4907621247113163
94.14634146341461, 1.4630484988452657
86.34146341463415, 1.4595842956120093
76.58536585365854, 1.4110854503464203
69.7560975609756, 1.3556581986143188
63.90243902439022, 1.3244803695150116
58.04878048780489, 1.2967667436489607
51.21951219512195, 1.2066974595842956
49.26829268292681, 1.172055427251732
44.39024390243901, 1.1131639722863742
42.4390243902439, 1.0438799076212473
39.51219512195121, 0.9953810623556583
34.634146341463406, 0.964203233256351
28.78048780487805, 0.8533487297921478
26.82926829268291, 0.804849884526559
25.853658536585357, 0.7494226327944573
23.902439024390247, 0.7113163972286376
22.926829268292693, 0.6697459584295613
20.975609756097555, 0.6108545034642034
19.024390243902445, 0.579676674364896
18.04878048780489, 0.5
15.121951219512226, 0.468822170900693
15.121951219512226, 0.4237875288683606
13.170731707317088, 0.40300230946882243
12.195121951219505, 0.371824480369515
12.195121951219505, 0.34411085450346457
12.195121951219505, 0.30946882217090055
